code,npc1,npc1Portrait,npc1Active,npc2,npc2Portrait,npc2Active,speaker,bg,typingSpeed,dialogue,answer1,answer2,answer3,answer4,answer1Action,answer2Action,answer3Action,answer4Action,UIResource,next
10001,20001,0,FALSE,20002,0,TRUE,20002,,1,어라? 너 누구야? 이렇게 깊은 곳까지 혼자 온 거야?,,,,,,,,,,10002
10002,20001,0,TRUE,20002,0,FALSE,20001,,1,어? 나는 그냥... 지나가는길인데?,,,,,,,,,,10003
10003,20001,0,TRUE,20002,0,FALSE,20001,,1,그냥 굴러다니는 과일들을 먹고있었어~,,,,,,,,,,10004
10004,20001,0,FALSE,20002,0,TRUE,20002,,1,뭐라고? 내 친구들을? 내가 혼내줘야겠군,,,,,,,,,,10005
10005,20001,0,TRUE,20002,0,FALSE,20001,,1,오호 그럼 내가 넘어가야 할 장애물이란 거지? 재미있겠다!,,,,,,,,,,10006
10006,20001,0,FALSE,20002,0,TRUE,20002,,1,뭐? 그런생각으론 후회하게 될거야!!,,,,,,,,,,
10007,20003,0,TRUE,20003,0,FALSE,20003,,1,오늘은 좀 쓸쓸하네. 그래도 걱정 마. 나는 괜찮아.,강화하기,취소,,,10010,10011,,,WeaponUpgradeUI,
10008,20003,0,TRUE,20003,0,FALSE,20003,,1,추운 날엔 몸도 마음도 움츠러들지. 그래도 괜찮아. 네가 오면 항상 기분이 좋아지니까,강화하기,취소,,,10010,10011,,,WeaponUpgradeUI,
10009,20003,0,TRUE,20003,0,FALSE,20003,,1,오늘은 뭐 좀 특별한 일이 있었어?,강화하기,취소,,,10010,10011,,,WeaponUpgradeUI,
10010,20003,0,TRUE,20003,0,FALSE,20003,,1,말끔하게 강화했어~,,,,,,,,,,
10011,20003,0,TRUE,20003,0,FALSE,20003,,1,다시 준비 되면 말해~,,,,,,,,,,
10012,20003,0,TRUE,20003,0,FALSE,20003,,1,뭐야 돈이 부족하잖아~,,,,,,,,,,
